datetime,hr,rri
2019-04-02 19:58:24.249,69, 982
2019-04-02 19:58:25.238,68, 1003
2019-04-02 19:58:26.229,67, 972
2019-04-02 19:58:27.221,67, 919
2019-04-02 19:58:28.703,66, 913
2019-04-02 19:58:29.198,66, 908
2019-04-02 19:58:30.683,66, 884
2019-04-02 19:58:31.179,66, 848
2019-04-02 19:58:32.172,67, 845
2019-04-02 19:58:33.158,67, 874
2019-04-02 19:58:34.156,67, 900
2019-04-02 19:58:35.142,67, 866
2019-04-02 19:58:36.128,67, 779
2019-04-02 19:58:37.127,68, 751
2019-04-02 19:58:38.110,69, 777
2019-04-02 19:58:39.110,71, 797
2019-04-02 19:58:40.088,71, 853
2019-04-02 19:58:41.079,71, 805
2019-04-02 19:58:42.067,71, 792
2019-04-02 19:58:43.057,71, 841
2019-04-02 19:58:44.060,71, 880
2019-04-02 19:58:45.041,71, 867
2019-04-02 19:58:46.027,71, 819
2019-04-02 19:58:47.017,71, 818
2019-04-02 19:58:48.007,71, 835
2019-04-02 19:58:49.008,71, 791
2019-04-02 19:58:49.991,72, 790
2019-04-02 19:58:50.985,72, 728
2019-04-02 19:58:51.969,74, 725
2019-04-02 19:58:52.957,74, 800
2019-04-02 19:58:53.949,75, 846
2019-04-02 19:58:54.942,75, 843
2019-04-02 19:58:55.931,74, 816
2019-04-02 19:58:56.920,74, 824
2019-04-02 19:58:57.908,74, 874
2019-04-02 19:58:58.914,73, 875
2019-04-02 19:58:59.898,73, 837
2019-04-02 19:59:00.877,73, 801
2019-04-02 19:59:01.866,73, 812
2019-04-02 19:59:02.858,73, 852
2019-04-02 19:59:03.848,73, 856
2019-04-02 19:59:04.841,72, 847
2019-04-02 19:59:05.828,72, 832
2019-04-02 19:59:06.816,72, 855
2019-04-02 19:59:07.813,72, 825
2019-04-02 19:59:08.800,72, 773
2019-04-02 19:59:09.787,72, 759
2019-04-02 19:59:10.777,73, 785
2019-04-02 19:59:12.261,73, 821
2019-04-02 19:59:13.252,73, 781
2019-04-02 19:59:14.242,74, 744
2019-04-02 19:59:15.234,75, 713
2019-04-02 19:59:16.233,76, 757
2019-04-02 19:59:17.212,77, 763
2019-04-02 19:59:18.204,77, 757
2019-04-02 19:59:19.196,77, 792
2019-04-02 19:59:20.188,77, 818
2019-04-02 19:59:21.176,76, 830
2019-04-02 19:59:22.164,76, 791
2019-04-02 19:59:23.152,76, 767
2019-04-02 19:59:24.147,76, 775
2019-04-02 19:59:25.135,76, 780
2019-04-02 19:59:26.121,76, 817
2019-04-02 19:59:27.110,76, 800
2019-04-02 19:59:28.109,76, 786
2019-04-02 19:59:29.095,76, 793
2019-04-02 19:59:30.088,76, 824
2019-04-02 19:59:31.073,75, 863
2019-04-02 19:59:32.068,75, 840
2019-04-02 19:59:33.054,74, 803
2019-04-02 19:59:34.046,74, 786
